month,mother_race,mother_education,birth_order,birth_count
2018-01,CHINESE,"""A"" LEVEL/DIPLOMA",1st,209
2018-01,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,155
2018-01,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,47
2018-01,CHINESE,"""A"" LEVEL/DIPLOMA",4th,6
2018-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,71
2018-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,64
2018-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,17
2018-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,8
2018-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,3
2018-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",6th,1
2018-01,CHINESE,NO QUALIFICATION,1st,4
2018-01,CHINESE,NO QUALIFICATION,2nd,2
2018-01,CHINESE,NO QUALIFICATION,3rd,2
2018-01,CHINESE,NO QUALIFICATION,4th,1
2018-01,CHINESE,PSLE,1st,18
2018-01,CHINESE,PSLE,2nd,11
2018-01,CHINESE,PSLE,3rd,16
2018-01,CHINESE,PSLE,4th,5
2018-01,CHINESE,PSLE,5th,2
2018-01,CHINESE,PSLE,7th,1
2018-01,CHINESE,UNIVERSITY DEGREE,1st,637
2018-01,CHINESE,UNIVERSITY DEGREE,2nd,481
2018-01,CHINESE,UNIVERSITY DEGREE,3rd,115
2018-01,CHINESE,UNIVERSITY DEGREE,4th,13
2018-01,CHINESE,UNIVERSITY DEGREE,5th,2
2018-01,CHINESE,UNIVERSITY DEGREE,6th,1
2018-02,CHINESE,"""A"" LEVEL/DIPLOMA",1st,171
2018-02,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,140
2018-02,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,53
2018-02,CHINESE,"""A"" LEVEL/DIPLOMA",4th,9
2018-02,CHINESE,"""A"" LEVEL/DIPLOMA",5th,3
2018-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,51
2018-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,37
2018-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,14
2018-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,6
2018-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,2
2018-02,CHINESE,NO QUALIFICATION,1st,6
2018-02,CHINESE,NO QUALIFICATION,2nd,3
2018-02,CHINESE,NO QUALIFICATION,4th,1
2018-02,CHINESE,PSLE,1st,25
2018-02,CHINESE,PSLE,2nd,21
2018-02,CHINESE,PSLE,3rd,6
2018-02,CHINESE,PSLE,4th,3
2018-02,CHINESE,UNIVERSITY DEGREE,1st,593
2018-02,CHINESE,UNIVERSITY DEGREE,2nd,409
2018-02,CHINESE,UNIVERSITY DEGREE,3rd,99
2018-02,CHINESE,UNIVERSITY DEGREE,4th,13
2018-02,CHINESE,UNIVERSITY DEGREE,5th,2
2018-03,CHINESE,"""A"" LEVEL/DIPLOMA",1st,236
2018-03,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,179
2018-03,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,45
2018-03,CHINESE,"""A"" LEVEL/DIPLOMA",4th,12
2018-03,CHINESE,"""A"" LEVEL/DIPLOMA",6th,1
2018-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,69
2018-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,55
2018-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,31
2018-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,6
2018-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,4
2018-03,CHINESE,NO QUALIFICATION,1st,3
2018-03,CHINESE,NO QUALIFICATION,2nd,5
2018-03,CHINESE,NO QUALIFICATION,3rd,1
2018-03,CHINESE,NO QUALIFICATION,4th,1
2018-03,CHINESE,PSLE,1st,15
2018-03,CHINESE,PSLE,2nd,23
2018-03,CHINESE,PSLE,3rd,6
2018-03,CHINESE,PSLE,4th,4
2018-03,CHINESE,PSLE,9th & over,1
2018-03,CHINESE,UNIVERSITY DEGREE,1st,679
2018-03,CHINESE,UNIVERSITY DEGREE,2nd,474
2018-03,CHINESE,UNIVERSITY DEGREE,3rd,116
2018-03,CHINESE,UNIVERSITY DEGREE,4th,21
2018-03,CHINESE,UNIVERSITY DEGREE,5th,1
2018-04,CHINESE,"""A"" LEVEL/DIPLOMA",1st,188
2018-04,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,145
2018-04,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,37
2018-04,CHINESE,"""A"" LEVEL/DIPLOMA",4th,9
2018-04,CHINESE,"""A"" LEVEL/DIPLOMA",5th,2
2018-04,CHINESE,"""A"" LEVEL/DIPLOMA",6th,1
2018-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,58
2018-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,46
2018-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,20
2018-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,8
2018-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,1
2018-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",6th,1
2018-04,CHINESE,NO QUALIFICATION,1st,4
2018-04,CHINESE,NO QUALIFICATION,2nd,3
2018-04,CHINESE,PSLE,1st,17
2018-04,CHINESE,PSLE,2nd,18
2018-04,CHINESE,PSLE,3rd,7
2018-04,CHINESE,PSLE,4th,3
2018-04,CHINESE,UNIVERSITY DEGREE,1st,641
2018-04,CHINESE,UNIVERSITY DEGREE,2nd,428
2018-04,CHINESE,UNIVERSITY DEGREE,3rd,114
2018-04,CHINESE,UNIVERSITY DEGREE,4th,16
2018-04,CHINESE,UNIVERSITY DEGREE,5th,4
2018-05,CHINESE,"""A"" LEVEL/DIPLOMA",1st,195
2018-05,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,146
2018-05,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,34
2018-05,CHINESE,"""A"" LEVEL/DIPLOMA",4th,4
2018-05,CHINESE,"""A"" LEVEL/DIPLOMA",6th,1
2018-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,69
2018-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,45
2018-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,15
2018-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,5
2018-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,2
2018-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",6th,2
2018-05,CHINESE,NO QUALIFICATION,1st,5
2018-05,CHINESE,NO QUALIFICATION,2nd,4
2018-05,CHINESE,NO QUALIFICATION,3rd,1
2018-05,CHINESE,NO QUALIFICATION,4th,1
2018-05,CHINESE,NO QUALIFICATION,5th,1
2018-05,CHINESE,PSLE,1st,15
2018-05,CHINESE,PSLE,2nd,11
2018-05,CHINESE,PSLE,3rd,9
2018-05,CHINESE,PSLE,4th,4
2018-05,CHINESE,PSLE,5th,1
2018-05,CHINESE,PSLE,6th,1
2018-05,CHINESE,UNIVERSITY DEGREE,1st,612
2018-05,CHINESE,UNIVERSITY DEGREE,2nd,482
2018-05,CHINESE,UNIVERSITY DEGREE,3rd,115
2018-05,CHINESE,UNIVERSITY DEGREE,4th,19
2018-05,CHINESE,UNIVERSITY DEGREE,5th,3
2018-05,CHINESE,UNIVERSITY DEGREE,6th,1
2018-05,CHINESE,UNIVERSITY DEGREE,7th,1
2018-06,CHINESE,"""A"" LEVEL/DIPLOMA",1st,191
2018-06,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,132
2018-06,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,49
2018-06,CHINESE,"""A"" LEVEL/DIPLOMA",4th,8
2018-06,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,64
2018-06,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,44
2018-06,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,18
2018-06,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,8
2018-06,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,3
2018-06,CHINESE,NO QUALIFICATION,1st,4
2018-06,CHINESE,NO QUALIFICATION,2nd,3
2018-06,CHINESE,PSLE,1st,17
2018-06,CHINESE,PSLE,2nd,16
2018-06,CHINESE,PSLE,3rd,10
2018-06,CHINESE,PSLE,4th,2
2018-06,CHINESE,UNIVERSITY DEGREE,1st,607
2018-06,CHINESE,UNIVERSITY DEGREE,2nd,441
2018-06,CHINESE,UNIVERSITY DEGREE,3rd,116
2018-06,CHINESE,UNIVERSITY DEGREE,4th,21
2018-07,CHINESE,"""A"" LEVEL/DIPLOMA",1st,176
2018-07,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,152
2018-07,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,44
2018-07,CHINESE,"""A"" LEVEL/DIPLOMA",4th,12
2018-07,CHINESE,"""A"" LEVEL/DIPLOMA",5th,1
2018-07,CHINESE,"""A"" LEVEL/DIPLOMA",6th,1
2018-07,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,61
2018-07,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,53
2018-07,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,24
2018-07,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,6
2018-07,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,3
2018-07,CHINESE,NO QUALIFICATION,1st,1
2018-07,CHINESE,NO QUALIFICATION,2nd,7
2018-07,CHINESE,NO QUALIFICATION,3rd,1
2018-07,CHINESE,NO QUALIFICATION,4th,1
2018-07,CHINESE,PSLE,1st,16
2018-07,CHINESE,PSLE,2nd,16
2018-07,CHINESE,PSLE,3rd,8
2018-07,CHINESE,PSLE,4th,1
2018-07,CHINESE,UNIVERSITY DEGREE,1st,629
2018-07,CHINESE,UNIVERSITY DEGREE,2nd,473
2018-07,CHINESE,UNIVERSITY DEGREE,3rd,121
2018-07,CHINESE,UNIVERSITY DEGREE,4th,15
2018-07,CHINESE,UNIVERSITY DEGREE,5th,2
2018-08,CHINESE,"""A"" LEVEL/DIPLOMA",1st,209
2018-08,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,158
2018-08,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,58
2018-08,CHINESE,"""A"" LEVEL/DIPLOMA",4th,11
2018-08,CHINESE,"""A"" LEVEL/DIPLOMA",5th,1
2018-08,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,68
2018-08,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,64
2018-08,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,27
2018-08,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,6
2018-08,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,6
2018-08,CHINESE,NO QUALIFICATION,1st,5
2018-08,CHINESE,NO QUALIFICATION,2nd,1
2018-08,CHINESE,NO QUALIFICATION,3rd,1
2018-08,CHINESE,PSLE,1st,18
2018-08,CHINESE,PSLE,2nd,16
2018-08,CHINESE,PSLE,3rd,11
2018-08,CHINESE,PSLE,4th,2
2018-08,CHINESE,PSLE,5th,2
2018-08,CHINESE,PSLE,6th,2
2018-08,CHINESE,PSLE,9th & over,1
2018-08,CHINESE,UNIVERSITY DEGREE,1st,662
2018-08,CHINESE,UNIVERSITY DEGREE,2nd,461
2018-08,CHINESE,UNIVERSITY DEGREE,3rd,116
2018-08,CHINESE,UNIVERSITY DEGREE,4th,15
2018-08,CHINESE,UNIVERSITY DEGREE,5th,1
2018-08,CHINESE,UNIVERSITY DEGREE,6th,1
2018-09,CHINESE,"""A"" LEVEL/DIPLOMA",1st,193
2018-09,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,146
2018-09,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,44
2018-09,CHINESE,"""A"" LEVEL/DIPLOMA",4th,7
2018-09,CHINESE,"""A"" LEVEL/DIPLOMA",5th,4
2018-09,CHINESE,"""A"" LEVEL/DIPLOMA",6th,1
2018-09,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,58
2018-09,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,42
2018-09,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,25
2018-09,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,7
2018-09,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,3
2018-09,CHINESE,NO QUALIFICATION,1st,5
2018-09,CHINESE,NO QUALIFICATION,2nd,2
2018-09,CHINESE,NO QUALIFICATION,3rd,3
2018-09,CHINESE,PSLE,1st,16
2018-09,CHINESE,PSLE,2nd,19
2018-09,CHINESE,PSLE,3rd,12
2018-09,CHINESE,PSLE,4th,3
2018-09,CHINESE,UNIVERSITY DEGREE,1st,670
2018-09,CHINESE,UNIVERSITY DEGREE,2nd,496
2018-09,CHINESE,UNIVERSITY DEGREE,3rd,113
2018-09,CHINESE,UNIVERSITY DEGREE,4th,23
2018-09,CHINESE,UNIVERSITY DEGREE,5th,2
2018-10,CHINESE,"""A"" LEVEL/DIPLOMA",1st,204
2018-10,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,160
2018-10,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,50
2018-10,CHINESE,"""A"" LEVEL/DIPLOMA",4th,7
2018-10,CHINESE,"""A"" LEVEL/DIPLOMA",5th,1
2018-10,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,60
2018-10,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,67
2018-10,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,24
2018-10,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,14
2018-10,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,2
2018-10,CHINESE,NO QUALIFICATION,1st,4
2018-10,CHINESE,NO QUALIFICATION,2nd,3
2018-10,CHINESE,NO QUALIFICATION,4th,2
2018-10,CHINESE,PSLE,1st,20
2018-10,CHINESE,PSLE,2nd,24
2018-10,CHINESE,PSLE,3rd,6
2018-10,CHINESE,PSLE,4th,5
2018-10,CHINESE,PSLE,5th,1
2018-10,CHINESE,UNIVERSITY DEGREE,1st,714
2018-10,CHINESE,UNIVERSITY DEGREE,2nd,488
2018-10,CHINESE,UNIVERSITY DEGREE,3rd,124
2018-10,CHINESE,UNIVERSITY DEGREE,4th,18
2018-10,CHINESE,UNIVERSITY DEGREE,5th,5
2018-10,CHINESE,UNIVERSITY DEGREE,6th,1
2018-11,CHINESE,"""A"" LEVEL/DIPLOMA",1st,211
2018-11,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,169
2018-11,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,49
2018-11,CHINESE,"""A"" LEVEL/DIPLOMA",4th,10
2018-11,CHINESE,"""A"" LEVEL/DIPLOMA",5th,1
2018-11,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,55
2018-11,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,56
2018-11,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,25
2018-11,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,9
2018-11,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,3
2018-11,CHINESE,"""N"" LEVEL/""O"" LEVEL",6th,1
2018-11,CHINESE,"""N"" LEVEL/""O"" LEVEL",7th,1
2018-11,CHINESE,NO QUALIFICATION,1st,4
2018-11,CHINESE,NO QUALIFICATION,2nd,2
2018-11,CHINESE,NO QUALIFICATION,3rd,4
2018-11,CHINESE,NO QUALIFICATION,4th,1
2018-11,CHINESE,PSLE,1st,29
2018-11,CHINESE,PSLE,2nd,17
2018-11,CHINESE,PSLE,3rd,9
2018-11,CHINESE,PSLE,5th,1
2018-11,CHINESE,PSLE,6th,1
2018-11,CHINESE,UNIVERSITY DEGREE,1st,664
2018-11,CHINESE,UNIVERSITY DEGREE,2nd,488
2018-11,CHINESE,UNIVERSITY DEGREE,3rd,139
2018-11,CHINESE,UNIVERSITY DEGREE,4th,19
2018-11,CHINESE,UNIVERSITY DEGREE,5th,2
2018-11,CHINESE,UNIVERSITY DEGREE,8th,1
2018-12,CHINESE,"""A"" LEVEL/DIPLOMA",1st,184
2018-12,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,152
2018-12,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,50
2018-12,CHINESE,"""A"" LEVEL/DIPLOMA",4th,8
2018-12,CHINESE,"""A"" LEVEL/DIPLOMA",5th,2
2018-12,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,73
2018-12,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,66
2018-12,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,21
2018-12,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,6
2018-12,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,2
2018-12,CHINESE,"""N"" LEVEL/""O"" LEVEL",6th,1
2018-12,CHINESE,NO QUALIFICATION,1st,1
2018-12,CHINESE,NO QUALIFICATION,2nd,2
2018-12,CHINESE,NO QUALIFICATION,4th,1
2018-12,CHINESE,NO QUALIFICATION,5th,1
2018-12,CHINESE,PSLE,1st,25
2018-12,CHINESE,PSLE,2nd,12
2018-12,CHINESE,PSLE,3rd,3
2018-12,CHINESE,PSLE,4th,6
2018-12,CHINESE,PSLE,5th,1
2018-12,CHINESE,UNIVERSITY DEGREE,1st,651
2018-12,CHINESE,UNIVERSITY DEGREE,2nd,475
2018-12,CHINESE,UNIVERSITY DEGREE,3rd,101
2018-12,CHINESE,UNIVERSITY DEGREE,4th,18
2018-12,CHINESE,UNIVERSITY DEGREE,5th,2
2019-01,CHINESE,"""A"" LEVEL/DIPLOMA",1st,213
2019-01,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,167
2019-01,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,44
2019-01,CHINESE,"""A"" LEVEL/DIPLOMA",4th,10
2019-01,CHINESE,"""A"" LEVEL/DIPLOMA",5th,1
2019-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,71
2019-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,52
2019-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,18
2019-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,8
2019-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,1
2019-01,CHINESE,"""N"" LEVEL/""O"" LEVEL",7th,1
2019-01,CHINESE,NO QUALIFICATION,1st,2
2019-01,CHINESE,NO QUALIFICATION,2nd,5
2019-01,CHINESE,NO QUALIFICATION,3rd,5
2019-01,CHINESE,NO QUALIFICATION,4th,1
2019-01,CHINESE,PSLE,1st,27
2019-01,CHINESE,PSLE,2nd,10
2019-01,CHINESE,PSLE,3rd,6
2019-01,CHINESE,PSLE,4th,2
2019-01,CHINESE,PSLE,5th,1
2019-01,CHINESE,PSLE,7th,1
2019-01,CHINESE,UNIVERSITY DEGREE,1st,641
2019-01,CHINESE,UNIVERSITY DEGREE,2nd,448
2019-01,CHINESE,UNIVERSITY DEGREE,3rd,105
2019-01,CHINESE,UNIVERSITY DEGREE,4th,17
2019-01,CHINESE,UNIVERSITY DEGREE,5th,1
2019-01,CHINESE,UNIVERSITY DEGREE,6th,1
2019-02,CHINESE,"""A"" LEVEL/DIPLOMA",1st,204
2019-02,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,129
2019-02,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,38
2019-02,CHINESE,"""A"" LEVEL/DIPLOMA",4th,10
2019-02,CHINESE,"""A"" LEVEL/DIPLOMA",5th,2
2019-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,50
2019-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,51
2019-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,26
2019-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,6
2019-02,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,4
2019-02,CHINESE,NO QUALIFICATION,1st,2
2019-02,CHINESE,NO QUALIFICATION,2nd,6
2019-02,CHINESE,NO QUALIFICATION,3rd,4
2019-02,CHINESE,PSLE,1st,20
2019-02,CHINESE,PSLE,2nd,15
2019-02,CHINESE,PSLE,3rd,7
2019-02,CHINESE,PSLE,4th,1
2019-02,CHINESE,PSLE,5th,2
2019-02,CHINESE,PSLE,6th,1
2019-02,CHINESE,UNIVERSITY DEGREE,1st,602
2019-02,CHINESE,UNIVERSITY DEGREE,2nd,414
2019-02,CHINESE,UNIVERSITY DEGREE,3rd,102
2019-02,CHINESE,UNIVERSITY DEGREE,4th,20
2019-02,CHINESE,UNIVERSITY DEGREE,5th,4
2019-02,CHINESE,UNIVERSITY DEGREE,6th,1
2019-03,CHINESE,"""A"" LEVEL/DIPLOMA",1st,210
2019-03,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,157
2019-03,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,47
2019-03,CHINESE,"""A"" LEVEL/DIPLOMA",4th,4
2019-03,CHINESE,"""A"" LEVEL/DIPLOMA",5th,4
2019-03,CHINESE,"""A"" LEVEL/DIPLOMA",6th,1
2019-03,CHINESE,"""A"" LEVEL/DIPLOMA",7th,1
2019-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,55
2019-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,45
2019-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,25
2019-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,10
2019-03,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,2
2019-03,CHINESE,NO QUALIFICATION,1st,5
2019-03,CHINESE,NO QUALIFICATION,2nd,3
2019-03,CHINESE,NO QUALIFICATION,3rd,4
2019-03,CHINESE,PSLE,1st,23
2019-03,CHINESE,PSLE,2nd,15
2019-03,CHINESE,PSLE,3rd,5
2019-03,CHINESE,PSLE,4th,5
2019-03,CHINESE,PSLE,5th,1
2019-03,CHINESE,UNIVERSITY DEGREE,1st,692
2019-03,CHINESE,UNIVERSITY DEGREE,2nd,491
2019-03,CHINESE,UNIVERSITY DEGREE,3rd,108
2019-03,CHINESE,UNIVERSITY DEGREE,4th,13
2019-03,CHINESE,UNIVERSITY DEGREE,5th,2
2019-03,CHINESE,UNIVERSITY DEGREE,6th,1
2019-04,CHINESE,"""A"" LEVEL/DIPLOMA",1st,182
2019-04,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,142
2019-04,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,45
2019-04,CHINESE,"""A"" LEVEL/DIPLOMA",4th,8
2019-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,46
2019-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,52
2019-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,15
2019-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,4
2019-04,CHINESE,"""N"" LEVEL/""O"" LEVEL",6th,1
2019-04,CHINESE,NO QUALIFICATION,1st,3
2019-04,CHINESE,NO QUALIFICATION,2nd,4
2019-04,CHINESE,NO QUALIFICATION,3rd,2
2019-04,CHINESE,PSLE,1st,15
2019-04,CHINESE,PSLE,2nd,14
2019-04,CHINESE,PSLE,3rd,6
2019-04,CHINESE,PSLE,4th,2
2019-04,CHINESE,UNIVERSITY DEGREE,1st,638
2019-04,CHINESE,UNIVERSITY DEGREE,2nd,464
2019-04,CHINESE,UNIVERSITY DEGREE,3rd,110
2019-04,CHINESE,UNIVERSITY DEGREE,4th,16
2019-04,CHINESE,UNIVERSITY DEGREE,5th,4
2019-04,CHINESE,UNIVERSITY DEGREE,6th,1
2019-05,CHINESE,"""A"" LEVEL/DIPLOMA",1st,212
2019-05,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,153
2019-05,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,46
2019-05,CHINESE,"""A"" LEVEL/DIPLOMA",4th,6
2019-05,CHINESE,"""A"" LEVEL/DIPLOMA",5th,5
2019-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,55
2019-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",2nd,45
2019-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",3rd,33
2019-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",4th,9
2019-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",5th,2
2019-05,CHINESE,"""N"" LEVEL/""O"" LEVEL",6th,1
2019-05,CHINESE,NO QUALIFICATION,1st,5
2019-05,CHINESE,NO QUALIFICATION,2nd,6
2019-05,CHINESE,NO QUALIFICATION,3rd,3
2019-05,CHINESE,PSLE,1st,11
2019-05,CHINESE,PSLE,2nd,16
2019-05,CHINESE,PSLE,3rd,8
2019-05,CHINESE,PSLE,5th,2
2019-05,CHINESE,PSLE,6th,1
2019-05,CHINESE,UNIVERSITY DEGREE,1st,638
2019-05,CHINESE,UNIVERSITY DEGREE,2nd,471
2019-05,CHINESE,UNIVERSITY DEGREE,3rd,131
2019-05,CHINESE,UNIVERSITY DEGREE,4th,16
2019-05,CHINESE,UNIVERSITY DEGREE,6th,1
2019-06,CHINESE,"""A"" LEVEL/DIPLOMA",1st,203
2019-06,CHINESE,"""A"" LEVEL/DIPLOMA",2nd,158
2019-06,CHINESE,"""A"" LEVEL/DIPLOMA",3rd,48
2019-06,CHINESE,"""A"" LEVEL/DIPLOMA",4th,15
2019-06,CHINESE,"""N"" LEVEL/""O"" LEVEL",1st,60
